Mercedes-AMG GT3 2020,baseline,hard
Speed (KPH),-180,-170,-160,-150,-140,-130,-120,-110,-100,-90,-80,-70,-60,-50,-40,-30,-20
0,,,,,,,,,,,,,,,,,
1,1.205872,1.097871,1.036376,0.979872,0.922269,0.865391,0.801578,0.739431,0.681292,0.617888,0.551820,0.489804,0.422772,0.359077,0.279121,0.222346,0.114661
2,2.427406,2.285947,2.149855,2.018134,1.884172,1.746332,1.617288,1.471087,1.343125,1.200054,1.073127,0.934178,0.802555,0.663423,0.535897,0.389772,0.268916
3,3.638506,3.429251,3.218233,3.016408,2.811941,2.600567,2.407080,2.197544,2.000737,1.795574,1.596589,1.384834,1.196476,0.990056,0.789568,0.591493,0.394320
4,4.834797,4.554893,4.294782,4.018216,3.741619,3.465810,3.209337,2.931391,2.672046,2.393514,2.128026,1.858167,1.584939,1.317056,1.039702,0.779177,0.508895
5,6.014838,5.682786,5.358041,5.019713,4.683580,4.344041,4.011699,3.671065,3.343004,3.001451,2.672462,2.330380,1.979037,1.628224,1.279910,0.941389,0.608363
6,7.238946,6.831280,6.432590,6.016075,5.604263,5.188824,4.794810,4.375539,3.983028,3.576989,3.178547,2.770443,2.371808,1.969310,1.569787,1.168035,0.761154
7,8.381892,7.911777,7.434479,6.998301,6.542158,6.063605,5.590230,5.107053,4.624553,4.142649,3.679562,3.211869,2.756289,2.289607,1.823092,1.359923,0.886454
8,9.625684,9.081475,8.528050,7.996850,7.450112,6.902767,6.368358,5.824223,5.293217,4.750400,4.214964,3.675021,3.142374,2.605070,2.076925,1.539980,1.009699
9,10.807896,10.209492,9.592980,8.987721,8.376511,7.761494,7.158061,6.545032,5.948503,5.335511,4.739593,4.133656,3.532011,2.933948,2.328836,1.730877,1.125350
10,11.940939,11.279810,10.611233,9.956789,9.283546,8.614218,7.957039,7.292027,6.637743,5.976367,5.299062,4.581927,3.840160,3.148114,2.522478,1.916204,1.272209
11,13.171026,12.422493,11.664484,10.925743,10.183074,9.437994,8.700852,7.955996,7.223958,6.479530,5.747597,5.007142,4.278211,3.542313,2.812082,2.072015,1.337731
12,14.364857,13.530322,12.726599,11.904213,11.109440,10.293456,9.477144,8.673982,7.868826,7.065722,6.259823,5.463559,4.657038,3.859567,3.053860,2.255867,1.460791
13,15.503678,14.623455,13.756121,12.872469,11.994894,11.128651,10.247896,9.385825,8.509171,7.646184,6.772389,5.909031,5.039507,4.177248,3.309851,2.442606,1.582772
14,16.697973,15.751922,14.800493,13.865586,12.922607,11.976892,11.044579,10.100182,9.170899,8.234296,7.305203,6.366470,5.439328,4.506276,3.576121,2.642595,1.711778
15,17.900023,16.883209,15.865680,14.862611,13.855167,12.842890,11.840902,10.829914,9.826122,8.828163,7.824865,6.827685,5.828717,4.832063,3.836235,2.843757,1.842788
16,19.079826,17.997852,16.932205,15.847885,14.768867,13.707234,12.626439,11.560316,10.489138,9.427055,8.356390,7.283909,6.230095,5.162621,4.100952,3.037404,1.974517
17,20.279457,19.132498,17.975899,16.844812,15.699360,14.555805,13.422075,12.280029,11.152451,10.012915,8.886468,7.748919,6.614365,5.489596,4.360456,3.235809,2.103151
18,21.493937,20.275223,19.038536,17.845720,16.630386,15.409992,14.216594,12.995849,11.811682,10.596385,9.409448,8.200871,6.996558,5.811454,4.608145,3.418694,2.220712
19,22.413664,21.189304,19.977692,18.738800,17.494711,16.269056,15.065592,13.742353,12.536079,11.479747,10.051545,8.632051,7.377611,6.141123,4.876993,3.622361,2.368027
20,23.648872,22.355574,21.051920,19.757463,18.443626,17.154945,15.846368,14.538436,13.242886,11.865500,10.428062,8.954898,7.644777,6.360428,5.026607,3.678540,2.376803
21,24.809845,23.403423,22.009678,20.616875,19.194721,17.801527,16.422930,15.013220,13.609369,12.238502,10.844254,9.439689,8.054142,6.669236,5.271263,3.907153,2.497102
22,25.994726,24.556343,23.082144,21.601484,20.152969,18.683531,17.220427,15.771758,14.303410,12.820036,11.378751,9.932803,8.464828,7.005248,5.546749,4.066082,2.634726
