Ray Formula 1600,baseline_wet,allpurpose
Speed (KPH),-180,-170,-160,-150,-140,-130,-120,-110,-100,-90,-80,-70,-60,-50,-40,-30,-20
32,71.251389,66.904373,62.669872,58.452011,54.274334,50.213196,46.180523,42.163158,38.194981,34.289719,30.428413,26.556217,22.718149,18.902128,15.116313,11.329417,7.549509
33,,68.932518,64.564087,60.224186,55.949158,51.729183,47.581112,43.465862,39.382118,35.349319,31.355492,27.368914,23.421118,19.494749,15.585389,11.671079,7.778399
34,,70.987862,66.478264,62.006176,57.596107,53.269051,49.003212,44.743347,40.548523,36.392609,32.294121,28.185978,24.114252,20.066887,16.042999,12.015084,8.018012
35,,70.363625,65.934410,61.637665,59.278702,54.828041,50.395706,46.037701,41.726025,37.456306,33.222797,29.000854,24.817951,20.653875,16.509483,12.366631,8.244175
36,,75.173447,70.241310,65.495079,58.805740,54.442131,49.965164,47.316116,42.892616,38.505642,34.151489,29.805649,25.507591,21.232332,16.965275,12.713340,8.476778
37,,77.915840,72.117340,67.287849,62.392906,57.744385,53.216408,48.706711,45.032604,38.247662,35.084435,30.624933,26.206123,21.827942,17.435438,13.056021,8.702888
38,,80.780418,74.445694,68.966782,64.177635,59.279873,54.604126,49.978775,45.377861,40.815079,36.299721,31.799183,27.363956,22.399654,17.900671,13.407490,8.931531
39,,82.515968,76.964188,70.920113,65.804482,60.909084,55.986362,51.242874,46.544407,41.867157,37.215187,32.610451,28.016747,23.454788,18.905344,14.363636,9.860858
40,,82.842621,79.031601,73.022194,67.368759,62.589878,57.366516,52.509766,47.703331,42.917690,38.148487,33.431122,28.721729,24.039959,19.374458,15.816337,9.418824
41,,82.371254,79.764343,75.097008,69.122108,63.789101,58.927551,53.777374,48.857113,43.955879,38.058205,33.489128,28.694450,23.946655,19.183359,,9.629276
42,,72.738632,,,,,,,,,38.974621,34.193886,29.348730,24.489639,19.618238,,9.851759
43,,,,,,,,,,,39.737934,34.923470,29.991325,25.026636,20.065889,,10.073808
44,,,,,,,,,,,40.513931,35.623154,30.624166,25.575127,20.494797,,10.295982
45,,,,,,,,,,,41.282257,36.323269,31.253298,26.104559,20.929211,,10.516918
46,,,,,,,,,,,42.021042,37.020359,31.868296,26.631039,21.358818,,10.738913
47,,,,,,,,,,,42.727097,37.703602,32.487640,27.154064,21.783379,,10.956351
48,,,,,,,,,,,43.400360,38.362129,33.086357,27.687632,22.200802,,11.180194
49,,,,,,,,,,,44.043308,38.988064,33.683758,28.208872,22.630299,,11.395533
50,,,,,,,,,,,44.634491,39.601597,34.260666,28.711679,23.055481,,11.614851
51,,,,,,,,,,,45.200844,40.189548,34.824883,29.211964,23.467058,,11.832514
52,,,,,,,,,,,45.715847,40.736931,35.366535,29.698736,23.878738,,12.046778
53,,,,,,,,,,,46.146461,41.255974,35.897476,30.197369,24.295630,,12.260449
54,,,,,,,,,,,46.519688,41.752613,36.411411,30.690248,24.712170,,12.474346
55,,,,,,,,,,,46.798393,42.208477,36.898880,31.167240,25.112705,,12.693658
56,,,,,,,,,,,46.963345,42.607769,37.366718,31.625595,25.513895,,12.904224
57,,,,,,,,,,,47.006344,42.954529,37.797493,32.060760,25.898808,,13.111864
58,,,,,,,,,,,46.933331,43.240479,38.207729,32.490009,26.281641,,13.319943
59,,,,,,,,,,,46.730064,43.445122,38.594265,32.902542,26.668924,,13.525176
60,,,,,,,,,,,46.432838,43.560722,38.934151,33.305180,27.059097,,13.729274
61,,,,,,,,,,,46.042942,43.581169,39.232487,33.674740,27.436922,,13.937014
62,,,,,,,,,,,45.577538,43.501862,39.488346,34.009697,27.794899,,14.137895
63,,,,,,,,,,,45.028606,43.318027,39.687523,34.352390,28.140438,,14.339985
64,,,,,,,,,,,44.424652,43.064705,39.826378,34.656967,28.472029,,14.535518
65,,,,,,,,,,,43.763657,42.743118,39.893688,34.941185,28.797613,,14.729179
66,,,,,,,,,,,43.091938,42.367725,39.886303,35.188614,29.108488,,14.923894
67,,,,,,,,,,,42.408730,41.928398,39.802063,35.403713,29.398481,,15.114873
68,,,,,,,,,,,,41.443977,39.636223,35.589085,29.682774,,15.303817
69,,,,,,,,,,,,40.915493,39.419418,35.732761,29.951506,,15.490653
70,,,,,,,,,,,,40.347057,39.155010,35.833267,30.186241,,15.680029
71,,,,,,,,,,,,39.777275,38.854446,35.884411,30.416521,,15.862994
72,,,,,,,,,,,,,38.509354,35.878727,30.625170,,16.045038
73,,,,,,,,,,,,,38.131065,35.814884,30.812170,,16.228889
74,,,,,,,,,,,,,37.709496,35.686401,30.977604,,16.417027
75,,,,,,,,,,,,,37.264610,35.517204,31.117756,,16.601707
76,,,,,,,,,,,,,36.800381,35.312538,31.238117,,16.778954
77,,,,,,,,,,,,,36.321224,35.086647,31.334557,,16.954563
78,,,,,,,,,,,,,,34.832375,31.403793,,17.129026
79,,,,,,,,,,,,,,34.559101,31.439062,,17.296213
80,,,,,,,,,,,,,,34.259712,31.437845,,17.458673
81,,,,,,,,,,,,,,33.932949,31.393116,,17.616129
82,,,,,,,,,,,,,,33.586372,31.305223,,17.770882
83,,,,,,,,,,,,,,33.214764,31.179405,,17.917706
84,,,,,,,,,,,,,,32.902668,31.033779,,18.059584
85,,,,,,,,,,,,,,32.540318,30.878529,,18.211136
86,,,,,,,,,,,,,,,30.692858,,18.361475
87,,,,,,,,,,,,,,,30.479181,,18.505890
88,,,,,,,,,,,,,,,30.252829,,18.646969
89,,,,,,,,,,,,,,,30.020449,,18.787262
90,,,,,,,,,,,,,,,29.780275,,18.921242
91,,,,,,,,,,,,,,,29.541561,,19.052547
92,,,,,,,,,,,,,,,29.296646,,19.183075
93,,,,,,,,,,,,,,,29.048531,,19.308296
94,,,,,,,,,,,,,,,28.792408,,19.427797
95,,,,,,,,,,,,,,,28.523170,,19.536680
96,,,,,,,,,,,,,,,,,19.628044
97,,,,,,,,,,,,,,,,,19.712990
98,,,,,,,,,,,,,,,,,19.793663
99,,,,,,,,,,,,,,,,,19.865616
100,,,,,,,,,,,,,,,,,19.923773
101,,,,,,,,,,,,,,,,,19.974375
102,,,,,,,,,,,,,,,,,20.010796
103,,,,,,,,,,,,,,,,,20.040264
104,,,,,,,,,,,,,,,,,20.065832
105,,,,,,,,,,,,,,,,,20.077782
106,,,,,,,,,,,,,,,,,20.084476
107,,,,,,,,,,,,,,,,,20.079647
108,,,,,,,,,,,,,,,,,20.076866
109,,,,,,,,,,,,,,,,,20.074570
110,,,,,,,,,,,,,,,,,20.067068
111,,,,,,,,,,,,,,,,,20.055161
112,,,,,,,,,,,,,,,,,20.053293
113,,,,,,,,,,,,,,,,,20.028713
114,,,,,,,,,,,,,,,,,20.001015
115,,,,,,,,,,,,,,,,,19.954514
116,,,,,,,,,,,,,,,,,19.903288
117,,,,,,,,,,,,,,,,,19.833969
118,,,,,,,,,,,,,,,,,19.759184
119,,,,,,,,,,,,,,,,,19.673584
120,,,,,,,,,,,,,,,,,19.575867
121,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,
